# f  Gain  sGain  Phase sPhase
1.000000000000000000e+00 5.718072885756526197e-02 2.481026969774701948e-04 1.485561978059465993e+00 6.470812285915908402e-04
1.059560179277615921e+00 6.067311196509526938e-02 5.557521079616720605e-05 1.480373215497899908e+00 6.921974049076254137e-04
1.122667773510813705e+00 6.428846693384079880e-02 3.852150048763642090e-05 1.475167012600084648e+00 6.512473565244734442e-04
1.189534067370319637e+00 6.810798114209738741e-02 4.754165471909966591e-05 1.469672667487259110e+00 6.705497459483959278e-04
1.260382929679727537e+00 7.215542387795208235e-02 5.158921621097112070e-05 1.463702074234068506e+00 7.984793184727299008e-04
1.335451562929898861e+00 7.637521183572897054e-02 5.409091089255341412e-05 1.457389841348716297e+00 7.589906577892907786e-04
1.414991297434575968e+00 8.081676712405501395e-02 4.798249632292558435e-05 1.450697987987160209e+00 4.363013903349699085e-04
1.499268432786045713e+00 8.552368662320125603e-02 5.017132775764635900e-05 1.443360000993328729e+00 6.126215865245174729e-04
1.588565129428052725e+00 9.047180924047523720e-02 5.501241702348804254e-05 1.436127713009380580e+00 5.370706035753700829e-04
1.683180353330956835e+00 9.573539982258977288e-02 4.908819494486599022e-05 1.428048755205060028e+00 4.070518296496351959e-04
1.783430876931909603e+00 1.013329266869073264e-01 5.632273911671644622e-05 1.419900203693129859e+00 5.667952131780019812e-04
1.889652339691209937e+00 1.072666318046541778e-01 4.625680816209791068e-05 1.410930114730808649e+00 4.921014219198482312e-04
2.002200371815584745e+00 1.135239690634623488e-01 4.651047839254731037e-05 1.401794083994999385e+00 5.019209656898154315e-04
2.121451784910630245e+00 1.201835066796559381e-01 5.184319123971837493e-05 1.391949247802205525e+00 4.792635848542946145e-04
2.247805833548725651e+00 1.271196113093240043e-01 5.091877415102341305e-05 1.381596386327939907e+00 4.068485322464743975e-04
2.381685551976158610e+00 1.343800514780615629e-01 4.816084130729187800e-05 1.370517938255734647e+00 4.770954742136890130e-04
2.523539170434766277e+00 1.419616774214285670e-01 5.285799978919758339e-05 1.359016490865444515e+00 3.569271497675021040e-04
2.673841615839946950e+00 1.500471102491334752e-01 4.537246270782662881e-05 1.346898842089921500e+00 2.427586746048265452e-04
2.833096101839324366e+00 1.584712301295955195e-01 3.561068224994099656e-05 1.333989261488017108e+00 2.731494585506854698e-04
3.001835813575589373e+00 1.673589349230170664e-01 5.453995871216706852e-05 1.320715375008163717e+00 2.560141715733883555e-04
3.180625692794119885e+00 1.766901078928333202e-01 5.163040961079262323e-05 1.306390236173373687e+00 2.887984129772348699e-04
3.370064329271929005e+00 1.862807718654821976e-01 4.631874040748662952e-05 1.291390786009650515e+00 3.010149977974042185e-04
3.570785964900463405e+00 1.963400099227469442e-01 5.994966531339528267e-05 1.275696849916130082e+00 2.330324423584364082e-04
3.783462617131930106e+00 2.069412311696132156e-01 4.094332875405253609e-05 1.259265183634853624e+00 2.239328602557276655e-04
4.008806328898465665e+00 2.180538599027572466e-01 4.325096217777475233e-05 1.242137190475854025e+00 2.490387497918097859e-04
4.247571552536899553e+00 2.296800352218184293e-01 6.621237783729568038e-05 1.224011825351119853e+00 1.944344508214965639e-04
4.500557675700498805e+00 2.416079813237635709e-01 4.637279938131646026e-05 1.205126359458657426e+00 2.385900983120103653e-04
4.768611697714471021e+00 2.539149034391619542e-01 5.642562082956078395e-05 1.185387812571569111e+00 1.755803156718613409e-04
5.052631065335680738e+00 2.667951286691591095e-01 6.182653310861447780e-05 1.164859549210655043e+00 1.949406688472444897e-04
