# Acquisizione Analog Discovery 2
# Timestamp 2025-10-02 12:02:52
# time	ch1	ch2
-4.095999999999999815e-03	4.982954149827721786e-03	-3.357255709155295212e-03
-4.094999999999999682e-03	8.685159653610073638e-03	-3.357255709155295212e-03
-4.093999999999999549e-03	1.238736515739242462e-02	-3.357255709155295212e-03
-4.092999999999999416e-03	1.280748646045370368e-03	1.519167744735695075e-02
-4.092000000000000151e-03	8.685159653610073638e-03	-3.357255709155295212e-03
-4.091000000000000018e-03	-6.123662361519332034e-03	1.519167744735695075e-02
-4.089999999999999886e-03	1.238736515739242462e-02	-2.190618886566754117e-02
-4.088999999999999753e-03	1.238736515739242462e-02	7.772104184752052364e-03
-4.087999999999999620e-03	-2.421456857736981050e-03	-2.561597549696999210e-02
-4.086999999999999487e-03	8.685159653610073638e-03	7.772104184752052364e-03
-4.086000000000000222e-03	1.238736515739242462e-02	-7.067042340457744404e-03
-4.085000000000000089e-03	-2.421456857736981050e-03	4.062317553449603172e-03
-4.083999999999999957e-03	1.238736515739242462e-02	4.062317553449603172e-03
-4.082999999999999824e-03	1.238736515739242462e-02	-3.357255709155295212e-03
-4.081999999999999691e-03	1.280748646045370368e-03	7.772104184752052364e-03
-4.080999999999999558e-03	4.982954149827721786e-03	-3.357255709155295212e-03
-4.079999999999999426e-03	1.280748646045370368e-03	4.062317553449603172e-03
-4.079000000000000160e-03	2.349398166873947758e-02	-7.067042340457744404e-03
-4.078000000000000028e-03	1.280748646045370368e-03	-3.357255709155295212e-03
-4.076999999999999895e-03	-2.421456857736981050e-03	-1.448661560306264279e-02
-4.075999999999999762e-03	4.982954149827721786e-03	-3.357255709155295212e-03
-4.074999999999999629e-03	1.238736515739242462e-02	-1.077682897176019360e-02
-4.073999999999999497e-03	1.280748646045370368e-03	-3.357255709155295212e-03
-4.073000000000000231e-03	1.280748646045370368e-03	4.062317553449603172e-03
-4.072000000000000099e-03	1.608957066117477561e-02	-7.067042340457744404e-03
-4.070999999999999966e-03	8.685159653610073638e-03	4.062317553449603172e-03
-4.069999999999999833e-03	1.238736515739242462e-02	3.525309221471539800e-04
-4.068999999999999700e-03	1.608957066117477561e-02	1.519167744735695075e-02
-4.067999999999999568e-03	1.238736515739242462e-02	3.525309221471539800e-04
-4.066999999999999435e-03	1.979177616495712833e-02	-1.448661560306264279e-02
-4.066000000000000170e-03	-9.825867865301683018e-03	3.525309221471539800e-04
-4.065000000000000037e-03	1.238736515739242462e-02	1.519167744735695075e-02
