# Acquisizione Analog Discovery 2
# Timestamp 2025-10-02 09:46:21
# time	ch1
-3.901030399999999565e-01	-8.909507777655013561e-01
-3.900077999999999601e-01	1.074920344742927192e+00
-3.899125599999999636e-01	9.749607961408037760e-01
-3.898173199999999672e-01	8.861078640500273940e-01
-3.897220799999999707e-01	7.750416989365568332e-01
-3.896268399999999743e-01	6.898909723495627588e-01
-3.895315999999999779e-01	6.047402457625686845e-01
-3.894363599999999814e-01	4.936740806490981237e-01
-3.893411199999999295e-01	3.900123265431922892e-01
-3.892458799999999330e-01	2.863505724372864547e-01
-3.891506399999999366e-01	1.937954348427276541e-01
-3.890553999999999402e-01	9.753809174438650420e-02
-3.889601599999999437e-01	4.982954149827721786e-03
-3.888649199999999473e-01	-9.867879995607811705e-02
-3.887696799999999508e-01	-1.986383485582016162e-01
-3.886744399999999544e-01	-2.837890751451956906e-01
-3.885791999999999580e-01	-3.911530347548838882e-01
-3.884839599999999615e-01	-4.911125833570073596e-01
-3.883887199999999651e-01	-5.725611044402191263e-01
-3.882934799999999687e-01	-7.021382970726014472e-01
-3.881982399999999722e-01	-7.576713796293366165e-01
-3.881029999999999758e-01	-8.724397502465895959e-01
-3.880077599999999793e-01	1.067515933735362577e+00
-3.879125199999999829e-01	9.638541796294567421e-01
-3.878172799999999310e-01	8.527880145159861813e-01
-3.877220399999999345e-01	7.750416989365568332e-01
-3.876267999999999381e-01	6.824865613419980326e-01
-3.875315599999999416e-01	5.825270127398745057e-01
-3.874363199999999452e-01	4.788652586339687267e-01
-3.873410799999999488e-01	4.048211485583216862e-01
-3.872458399999999523e-01	3.011593944524158517e-01
-3.871505999999999559e-01	1.900932293389452910e-01
-3.870553599999999594e-01	1.160491192632982643e-01
-3.869601199999999630e-01	8.685159653610073638e-03
-3.868648799999999666e-01	-9.127438894851341855e-02
-3.867696399999999701e-01	-1.801273210392898561e-01
-3.866743999999999737e-01	-2.985978971603250876e-01
-3.865791599999999772e-01	-3.874508292511015251e-01
-3.864839199999999808e-01	-4.948147888607897227e-01
-3.863886799999999844e-01	-5.947743374629131941e-01
-3.862934399999999324e-01	-6.725206530423425422e-01
-3.861981999999999360e-01	-7.946934346671601368e-01
-3.861029599999999395e-01	-8.761419557503719036e-01
-3.860077199999999431e-01	1.082324755750492029e+00
-3.859124799999999467e-01	9.786630016445861946e-01
-3.858172399999999502e-01	8.787034530424626677e-01
-3.857219999999999538e-01	7.639350824252097993e-01
-3.856267599999999574e-01	6.898909723495627588e-01
-3.855315199999999609e-01	5.973358347550039582e-01
-3.854362799999999645e-01	4.899718751453157606e-01
-3.853410399999999680e-01	3.937145320469745968e-01
-3.852457999999999716e-01	2.937549834448511255e-01
-3.851505599999999752e-01	2.086042568578570511e-01
-3.850553199999999787e-01	9.753809174438650420e-02
-3.849600799999999823e-01	1.238736515739242462e-02
-3.848648399999999303e-01	-1.023810054598604663e-01
-3.847695999999999339e-01	-2.171493760771133763e-01
-3.846743599999999375e-01	-2.911934861527604168e-01
-3.845791199999999410e-01	-3.948552402586662513e-01
-3.844838799999999446e-01	-4.874103778532249964e-01
-3.843886399999999481e-01	-5.836677209515661602e-01
-3.842933999999999517e-01	-6.836272695536896871e-01
-3.841981599999999553e-01	-7.835868181558131029e-01
-3.841029199999999588e-01	-8.946529832692836637e-01
-3.840076799999999624e-01	1.078622550246709721e+00
-3.839124399999999659e-01	9.749607961408037760e-01
-3.838171999999999695e-01	8.601924255235509076e-01
-3.837219599999999731e-01	7.602328769214273807e-01
-3.836267199999999766e-01	6.861887668457803402e-01
-3.835314799999999802e-01	5.788248072360921981e-01
-3.834362399999999838e-01	4.862696696415333975e-01
-3.833409999999999318e-01	4.011189430545393231e-01
-3.832457599999999354e-01	3.048615999561981593e-01
-3.831505199999999389e-01	1.937954348427276541e-01
-3.830552799999999425e-01	1.012402972481688535e-01
-3.829600399999999460e-01	1.608957066117477561e-02
-3.828647999999999496e-01	-8.757218344473106930e-02
-3.827695599999999532e-01	-1.912339375506368899e-01
-3.826743199999999567e-01	-3.023001026641074507e-01
-3.825790799999999603e-01	-3.911530347548838882e-01
-3.824838399999999639e-01	-4.874103778532249964e-01
-3.823885999999999674e-01	-5.873699264553484678e-01
-3.822933599999999710e-01	-6.910316805612543023e-01
-3.821981199999999745e-01	-7.909912291633778292e-01
-3.821028799999999781e-01	-8.613331337352425621e-01
-3.820076399999999817e-01	1.067515933735362577e+00
-3.819123999999999297e-01	9.675563851332390497e-01
-3.818171599999999333e-01	8.824056585462449753e-01
-3.817219199999999368e-01	7.787439044403391408e-01
-3.816266799999999404e-01	6.972953833571274851e-01
-3.815314399999999440e-01	5.899314237474392320e-01
-3.814361999999999475e-01	4.862696696415333975e-01
-3.813409599999999511e-01	3.974167375507569600e-01
-3.812457199999999546e-01	3.048615999561981593e-01
-3.811504799999999582e-01	2.123064623616394142e-01
-3.810552399999999618e-01	8.272926972925710720e-02
-3.809599999999999653e-01	1.280748646045370368e-03
-3.808647599999999689e-01	-8.016777243716635692e-02
-3.807695199999999724e-01	-1.949361430544192531e-01
-3.806742799999999760e-01	-2.837890751451956906e-01
-3.805790399999999796e-01	-3.800464182435367988e-01
-3.804837999999999831e-01	-4.800059668456603257e-01
-3.803885599999999312e-01	-5.688588989364367077e-01
-3.802933199999999347e-01	-6.873294750574719947e-01
-3.801980799999999383e-01	-7.724802016444660691e-01
-3.801028399999999419e-01	-8.761419557503719036e-01
-3.800075999999999454e-01	1.056409317224015432e+00
-3.799123599999999490e-01	9.749607961408037760e-01
-3.798171199999999526e-01	8.712990420348979415e-01
-3.797218799999999561e-01	7.787439044403391408e-01
-3.796266399999999597e-01	6.861887668457803402e-01
-3.795313999999999632e-01	5.788248072360921981e-01
-3.794361599999999668e-01	4.973762861528804868e-01
-3.793409199999999704e-01	3.937145320469745968e-01
-3.792456799999999739e-01	2.937549834448511255e-01
-3.791504399999999775e-01	1.937954348427276541e-01
-3.790551999999999810e-01	1.123469137595159151e-01
-3.789599599999999846e-01	1.608957066117477561e-02
-3.788647199999999327e-01	-8.386997794094870617e-02
-3.787694799999999362e-01	-1.801273210392898561e-01
-3.786742399999999398e-01	-2.874912806489780537e-01
-3.785789999999999433e-01	-3.911530347548838882e-01
-3.784837599999999469e-01	-4.651971448305309287e-01
-3.783885199999999505e-01	-5.688588989364367077e-01
-3.782932799999999540e-01	-6.836272695536896871e-01
-3.781980399999999576e-01	-7.724802016444660691e-01
-3.781027999999999611e-01	-8.761419557503719036e-01
-3.780075599999999647e-01	1.082324755750492029e+00
-3.779123199999999683e-01	9.749607961408037760e-01
-3.778170799999999718e-01	8.861078640500273940e-01
-3.777218399999999754e-01	8.009571374630333196e-01
-3.776265999999999790e-01	6.972953833571274851e-01
-3.775313599999999825e-01	5.973358347550039582e-01
-3.774361199999999306e-01	4.973762861528804868e-01
-3.773408799999999341e-01	3.826079155356275630e-01
-3.772456399999999377e-01	2.937549834448511255e-01
-3.771503999999999412e-01	2.086042568578570511e-01
-3.770551599999999448e-01	1.086447082557335658e-01
-3.769599199999999484e-01	1.280748646045370368e-03
-3.768646799999999519e-01	-1.023810054598604663e-01
-3.767694399999999555e-01	-1.838295265430721914e-01
-3.766741999999999591e-01	-2.837890751451956906e-01
-3.765789599999999626e-01	-3.874508292511015251e-01
-3.764837199999999662e-01	-5.022191998683545044e-01
-3.763884799999999697e-01	-5.836677209515661602e-01
-3.762932399999999733e-01	-6.799250640499072684e-01
-3.761979999999999769e-01	-7.909912291633778292e-01
-3.761027599999999804e-01	-8.946529832692836637e-01
-3.760075199999999840e-01	1.067515933735362577e+00
-3.759122799999999320e-01	9.786630016445861946e-01
-3.758170399999999356e-01	8.935122750575920092e-01
-3.757217999999999392e-01	7.935527264554685933e-01
-3.756265599999999427e-01	6.787843558382157250e-01
-3.755313199999999463e-01	6.010380402587862658e-01
-3.754360799999999498e-01	5.010784916566628500e-01
-3.753408399999999534e-01	3.937145320469745968e-01
-3.752455999999999570e-01	3.085638054599805224e-01
