# Acquisizione Analog Discovery 2
# Timestamp 2025-10-14 10:30:19
# time	ch1	ch2
-4.095999999999999815e-03	-1.058114364103584712e-02	-2.411483871704722948e-01
-4.094999999999999682e-03	6.491770761140307905e-04	-2.187274807044951308e-01
-4.093999999999999549e-03	-3.094263162935928513e-03	-1.925697564941884488e-01
-4.092999999999999416e-03	2.685325874946374591e-02	-1.589383967952226751e-01
-4.092000000000000151e-03	1.187949779326390870e-02	-1.626752145395522209e-01
-4.091000000000000018e-03	1.562293803231386974e-02	-1.626752145395522209e-01
-4.089999999999999886e-03	4.931390018376349826e-02	-1.028861306302797790e-01
-4.088999999999999753e-03	8.136057554213949397e-03	-6.925477093131401918e-02
-4.087999999999999620e-03	3.059669898851370695e-02	-9.541249514162071510e-02
-4.086999999999999487e-03	3.808357946661362209e-02	-4.683386446533685521e-02
-4.086000000000000222e-03	1.936637827136382731e-02	-3.188659348801874821e-02
-4.085000000000000089e-03	3.434013922756366799e-02	-3.188659348801874821e-02
-4.083999999999999957e-03	3.434013922756366799e-02	9.218401699606054711e-03
-4.082999999999999824e-03	4.392617315163990094e-03	2.042885493259463670e-02
-4.081999999999999691e-03	1.187949779326390870e-02	4.284976139857180066e-02
-4.080999999999999558e-03	4.182701970566358313e-02	8.021793884186707857e-02
-4.079999999999999426e-03	3.808357946661362209e-02	8.395475658619661052e-02
-4.079000000000000160e-03	3.434013922756366799e-02	9.890202756351472446e-02
-4.078000000000000028e-03	1.936637827136382731e-02	1.175861162851623565e-01
-4.076999999999999895e-03	2.685325874946374591e-02	1.474806582397985844e-01
-4.075999999999999762e-03	4.557045994471354416e-02	1.923224711717529123e-01
-4.074999999999999629e-03	3.808357946661362209e-02	1.885856534274233942e-01
-4.073999999999999497e-03	5.680078066186342034e-02	2.110065598934005582e-01
-4.073000000000000231e-03	5.305734042281345930e-02	2.595851905696844319e-01
-4.072000000000000099e-03	5.680078066186342034e-02	2.483747373366958222e-01
-4.070999999999999966e-03	6.054422090091338138e-02	2.782692792913320501e-01
-4.069999999999999833e-03	3.808357946661362209e-02	3.231110922232863780e-01
-4.068999999999999700e-03	6.803110137901330345e-02	2.932165502686501224e-01
-4.067999999999999568e-03	7.177454161806326449e-02	3.343215454562749045e-01
-4.066999999999999435e-03	6.803110137901330345e-02	3.417951809449339962e-01
-4.066000000000000170e-03	3.434013922756366799e-02	3.716897228995702518e-01
-4.065000000000000037e-03	6.428766113996334242e-02	3.679529051552407060e-01
-4.063999999999999904e-03	4.557045994471354416e-02	4.277419890645131062e-01
-4.062999999999999771e-03	7.926142209616317269e-02	4.389524422975017437e-01
-4.061999999999999639e-03	6.054422090091338138e-02	4.501628955304902702e-01
-4.060999999999999506e-03	7.177454161806326449e-02	4.651101665078084535e-01
-4.060000000000000241e-03	9.423518305236301684e-02	4.987415262067741439e-01
-4.059000000000000108e-03	7.551798185711321165e-02	5.398465213943989260e-01
-4.057999999999999975e-03	6.803110137901330345e-02	5.585306101160465442e-01
-4.056999999999999842e-03	7.926142209616317269e-02	5.772146988376942733e-01
-4.055999999999999710e-03	5.680078066186342034e-02	5.958987875593418915e-01
-4.054999999999999577e-03	7.926142209616317269e-02	5.996356053036714373e-01
-4.053999999999999444e-03	8.674830257426309477e-02	6.071092407923304179e-01
-4.053000000000000179e-03	7.926142209616317269e-02	6.370037827469666736e-01
-4.052000000000000046e-03	9.049174281331305580e-02	6.743719601902619099e-01
-4.050999999999999913e-03	8.674830257426309477e-02	6.818455956789210015e-01
-4.049999999999999781e-03	9.797862329141297788e-02	7.080033198892277113e-01
-4.048999999999999648e-03	8.674830257426309477e-02	7.266874086108753295e-01
-4.047999999999999515e-03	7.926142209616317269e-02	7.528451328211820393e-01
-4.047000000000000250e-03	7.926142209616317269e-02	7.677924037985001116e-01
-4.046000000000000117e-03	7.551798185711321165e-02	8.051605812417954589e-01
-4.044999999999999984e-03	9.423518305236301684e-02	8.088973989861248937e-01
-4.043999999999999852e-03	1.054655037695128861e-01	8.126342167304544395e-01
-4.042999999999999719e-03	1.204392647257127302e-01	8.313183054521020576e-01
-4.041999999999999586e-03	1.017220635304629250e-01	8.836337538727154772e-01
-4.040999999999999454e-03	1.054655037695128861e-01	8.686864828953974049e-01
-4.040000000000000188e-03	1.166958244866627692e-01	9.135282958273517329e-01
-4.039000000000000055e-03	1.017220635304629250e-01	9.247387490603402593e-01
-4.037999999999999923e-03	1.241827049647626913e-01	9.508964732706469691e-01
-4.036999999999999790e-03	1.166958244866627692e-01	9.583701087593060608e-01
-4.035999999999999657e-03	8.674830257426309477e-02	9.733173797366241331e-01
-4.034999999999999525e-03	1.241827049647626913e-01	1.018159192668578683e+00
-4.033999999999999392e-03	1.054655037695128861e-01	1.018159192668578683e+00
-4.033000000000000126e-03	1.129523842476128082e-01	1.044316916878885282e+00
-4.031999999999999994e-03	1.241827049647626913e-01	1.059264187856203465e+00
-4.030999999999999861e-03	1.316695854428626133e-01	1.081685094322180518e+00
-4.029999999999999728e-03	1.092089440085628471e-01	1.089158729810839610e+00
-4.028999999999999596e-03	1.166958244866627692e-01	1.104106000788157793e+00
-4.027999999999999463e-03	1.204392647257127302e-01	1.122790089509805300e+00
-4.027000000000000197e-03	1.166958244866627692e-01	1.163895084697430082e+00
-4.026000000000000065e-03	1.279261452038126523e-01	1.175105537930418720e+00
-4.024999999999999932e-03	1.391564659209625354e-01	1.208736897629384410e+00
-4.023999999999999799e-03	1.092089440085628471e-01	1.212473715373713956e+00
-4.022999999999999667e-03	1.316695854428626133e-01	1.219947350862373048e+00
-4.021999999999999534e-03	1.503867866381123908e-01	1.272262799282986467e+00
-4.020999999999999401e-03	1.391564659209625354e-01	1.275999617027316013e+00
-4.020000000000000136e-03	1.166958244866627692e-01	1.294683705748963742e+00
-4.019000000000000003e-03	1.503867866381123908e-01	1.346999154169576940e+00
-4.017999999999999870e-03	1.466433463990624575e-01	1.328315065447929433e+00
-4.016999999999999738e-03	1.466433463990624575e-01	1.350735971913906486e+00
-4.015999999999999605e-03	1.503867866381123908e-01	1.373156878379883761e+00
-4.014999999999999472e-03	1.616171073552622739e-01	1.384367331612872398e+00
-4.014000000000000207e-03	1.578736671162123129e-01	1.432945962289156050e+00
-4.013000000000000074e-03	1.653605475943122349e-01	1.432945962289156050e+00
-4.011999999999999941e-03	1.578736671162123129e-01	1.455366868755133325e+00
-4.010999999999999809e-03	1.728474280724121570e-01	1.451630051010803779e+00
-4.009999999999999676e-03	1.391564659209625354e-01	1.477787775221110600e+00
-4.008999999999999543e-03	1.578736671162123129e-01	1.474050957476781054e+00
-4.007999999999999410e-03	1.578736671162123129e-01	1.496471863942758107e+00
-4.007000000000000145e-03	1.803343085505120791e-01	1.533840041386053343e+00
-4.006000000000000012e-03	1.765908683114621180e-01	1.552524130107701072e+00
-4.004999999999999880e-03	1.878211890286120012e-01	1.604839578528314492e+00
-4.003999999999999747e-03	1.578736671162123129e-01	1.586155489806666763e+00
-4.002999999999999614e-03	1.616171073552622739e-01	1.612313214016973584e+00
-4.001999999999999481e-03	1.840777487895620401e-01	1.612313214016973584e+00
-4.001000000000000216e-03	1.653605475943122349e-01	1.664628662437586781e+00
-4.000000000000000083e-03	1.840777487895620401e-01	1.672102297926245873e+00
-3.998999999999999951e-03	1.616171073552622739e-01	1.701996839880882240e+00
-3.997999999999999818e-03	1.691039878333621960e-01	1.698260022136552694e+00
-3.996999999999999685e-03	1.653605475943122349e-01	1.713207293113870655e+00
-3.995999999999999552e-03	1.728474280724121570e-01	1.750575470557166113e+00
-3.994999999999999420e-03	1.803343085505120791e-01	1.758049106045824983e+00
-3.994000000000000154e-03	1.840777487895620401e-01	1.772996377023143166e+00
-3.993000000000000022e-03	1.878211890286120012e-01	1.795417283489120441e+00
-3.991999999999999889e-03	1.953080695067119232e-01	1.817838189955097494e+00
-3.990999999999999756e-03	1.878211890286120012e-01	1.817838189955097494e+00
-3.989999999999999623e-03	1.803343085505120791e-01	1.817838189955097494e+00
-3.988999999999999491e-03	1.915646292676619622e-01	1.840259096421074769e+00
-3.988000000000000225e-03	1.803343085505120791e-01	1.843995914165404093e+00
